Date,Time (GMT),Predicted (m),Verified (m),Preliminary (m),Forecast Guidance(m)
1989/09/20,04:00,1.915,1.792,-,-
1989/09/20,05:00,2.059,1.963,-,-
1989/09/20,06:00,2.095,2.015,-,-
1989/09/20,07:00,1.987,1.932,-,-
1989/09/20,08:00,1.741,1.689,-,-
1989/09/20,09:00,1.438,1.399,-,-
1989/09/20,10:00,1.152,1.155,-,-
1989/09/20,11:00,0.922,0.942,-,-
1989/09/20,12:00,0.78,0.796,-,-
1989/09/20,13:00,0.816,0.747,-,-
1989/09/20,14:00,1.115,1.094,-,-
1989/09/20,15:00,1.569,1.551,-,-
1989/09/20,16:00,1.943,1.881,-,-
1989/09/20,17:00,2.155,2.085,-,-
1989/09/20,18:00,2.26,2.222,-,-
1989/09/20,19:00,2.255,2.252,-,-
1989/09/20,20:00,2.113,2.088,-,-
1989/09/20,21:00,1.877,1.798,-,-
1989/09/20,22:00,1.61,1.524,-,-
1989/09/20,23:00,1.344,1.289,-,-
1989/09/21,00:00,1.093,1.079,-,-
1989/09/21,01:00,0.924,0.911,-,-
1989/09/21,02:00,0.973,0.896,-,-
1989/09/21,03:00,1.266,1.219,-,-
1989/09/21,04:00,1.617,1.6,-,-
1989/09/21,05:00,1.861,1.844,-,-
1989/09/21,06:00,2,1.987,-,-
1989/09/21,07:00,2.041,2.024,-,-
1989/09/21,08:00,1.931,1.917,-,-
1989/09/21,09:00,1.689,1.661,-,-
1989/09/21,10:00,1.403,1.387,-,-
1989/09/21,11:00,1.147,1.152,-,-
1989/09/21,12:00,0.946,0.96,-,-
1989/09/21,13:00,0.824,0.823,-,-
1989/09/21,14:00,0.87,0.844,-,-
1989/09/21,15:00,1.159,1.164,-,-
1989/09/21,16:00,1.57,1.527,-,-
1989/09/21,17:00,1.897,1.798,-,-
1989/09/21,18:00,2.094,1.987,-,-
1989/09/21,19:00,2.208,2.109,-,-
1989/09/21,20:00,2.21,2.118,-,-
1989/09/21,21:00,2.074,2.012,-,-
1989/09/21,22:00,1.854,1.814,-,-
1989/09/21,23:00,1.612,1.6,-,-
1989/09/22,00:00,1.369,1.433,-,-
1989/09/22,01:00,1.126,1.234,-,-
1989/09/22,02:00,0.957,1.143,-,-
1989/09/22,03:00,1.001,1.28,-,-
1989/09/22,04:00,1.27,1.737,-,-
1989/09/22,05:00,1.581,2.103,-,-
1989/09/22,06:00,1.808,2.362,-,-
1989/09/22,07:00,1.957,2.56,-,-
1989/09/22,08:00,2.007,2.667,-,-
1989/09/22,09:00,1.897,2.667,-,-
1989/09/22,10:00,1.662,2.423,-,-
1989/09/22,11:00,1.398,2.118,-,-
1989/09/22,12:00,1.17,1.875,-,-
1989/09/22,13:00,0.985,1.731,-,-
1989/09/22,14:00,0.863,1.597,-,-
1989/09/22,15:00,0.903,1.46,-,-
1989/09/22,16:00,1.173,1.396,-,-
1989/09/22,17:00,1.546,1.64,-,-
1989/09/22,18:00,1.841,1.945,-,-
1989/09/22,19:00,2.04,2.07,-,-
1989/09/22,20:00,2.168,2.213,-,-
1989/09/22,21:00,2.175,2.277,-,-
1989/09/22,22:00,2.043,2.185,-,-
1989/09/22,23:00,1.839,1.926,-,-
1989/09/23,00:00,1.619,1.658,-,-
1989/09/23,01:00,1.388,1.445,-,-
1989/09/23,02:00,1.14,1.262,-,-
1989/09/23,03:00,0.961,1.097,-,-
1989/09/23,04:00,1,1.039,-,-
